Smiles,Inchi Key
CN(c1ccccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,POJZIZBONPAWIV-UHFFFAOYSA-N
O=C(O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc1ccccc1,WPGGHFDDFPHPOB-BBWFWOEESA-N
NS(=O)(=O)c1nn2cc(-c3ccccc3)nc2s1,MQUYTXDAVCOCMX-UHFFFAOYSA-N
C=CC(=O)N[C@H]1CCOC[C@H]1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,MGZKYOAQVGSSGC-DLBZAZTESA-N
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,GDLIGKIOYRNHDA-UHFFFAOYSA-N
Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,XGOYIMQSIKSOBS-UHFFFAOYSA-N
NC(=O)N/N=C/c1ccc(Oc2ccc(F)cc2)cc1,MHUUDVZSPFRUSK-RQZCQDPDSA-N
Cn1cc(-c2cc(Oc3cc(F)c(NC(=O)C4(C(=O)Nc5ccccc5)CC4)cc3F)ccn2)cn1,WWOXKWLDMLMYQY-UHFFFAOYSA-N
CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1,SERHTTSLBVGRBY-UHFFFAOYSA-N
COc1ccc2nc3ccc(Cl)cc3c(SCCCN)c2c1,XMMAOXMYUGQGJD-UHFFFAOYSA-N
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,AHLBNYSZXLDEJQ-FWEHEUNISA-N
CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,JVVXZOOGOGPDRZ-SLFFLAALSA-N
COc1cc2c(cc1OC)-c1c(C)c3ccc(OC)c(OC)c3c[n+]1CC2,RFKQJTRWODZPHF-UHFFFAOYSA-N
C/C(=C\CNc1ncnc2nc[nH]c12)CO,UZKQTCBAMSWPJD-FARCUNLSSA-N
Cc1ccc(CNc2ncnc3ccc(-c4ccc(CO)o4)cc23)o1,ROCFOIBAEVAOLQ-UHFFFAOYSA-N
COc1cc2nc(N3CCC(N4CCCCC4)CC3)nc(NC3CCCCCC3)c2cc1OC,WYVBISCFCHREDA-UHFFFAOYSA-N
N#C/C(=C\c1ccc(O)cc1)C(=O)O,AFVLVVWMAFSXCK-VMPITWQZSA-N
CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,KTOYYUONFQWSMW-UHFFFAOYSA-N
COc1cccc(C(=O)COc2ccc(Cc3sc(=O)[nH]c3O)cc2)c1,JIJXYXYLGRAIGV-UHFFFAOYSA-N
CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21,QNOCRUSVMMAKSC-CCEZHUSRSA-N
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(F)cc12,JLPYLHLUHJOPNL-UHFFFAOYSA-N
COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,SJDOMIRMMUGQQK-UHFFFAOYSA-N
Oc1c(Cl)cc(Cl)c2cccnc12,WDFKMLRRRCGAKS-UHFFFAOYSA-N
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,XNOPRXBHLZRZKH-DSZYJQQASA-N
Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,FPRULFHDSFKYBV-UHFFFAOYSA-N
CC(C)CNc1nc(-c2cccc3ncccc23)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,MDYKTGNHXNTATG-UHFFFAOYSA-N
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,NAUWTFJOPJWYOT-UHFFFAOYSA-N
CCN(CCCc1ccccc1)CCCc1ccccc1,ZPFXAOWNKLFJDN-UHFFFAOYSA-N
O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1,NVDBBGBUTKLRSN-UHFFFAOYSA-N
O=c1[nH]c2ccc(Cl)cc2c(N[C@@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1,MOVBBVMDHIRCTG-LJQANCHMSA-N
CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,VQAYFKKCNSOZKM-IOSLPCCCSA-N
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,OUJTZYPIHDYQMC-LJQANCHMSA-N
CCCCCCCCCCCCCCCCCCCCCCO,NOPFSRXAKWQILS-UHFFFAOYSA-N
COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1,RVFIAQAAZUEPPE-UHFFFAOYSA-N
CN1CCN(c2ncc(-c3cc(Cl)cc(Cl)c3Cl)c(N)n2)CC1,PDOCBJADCWMDGL-UHFFFAOYSA-N
O=C(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1,FTJXZACAQRDRNT-UHFFFAOYSA-N
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,ACWZRVQXLIRSDF-UHFFFAOYSA-N
CN[C@H](CNC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(Cl)c2)C1)C[C@H]1CCCOC1,NXWASIVXQMMPLM-ZXMXYHOLSA-N
c1ccc2c(c1)CCC[C@H]2Nc1nc2ccccc2[nH]1,XZIZUQSOFMLIIR-CQSZACIVSA-N
Cc1cnc(C(=O)O)c[n+]1[O-],DJQOOSBJCLSSEY-UHFFFAOYSA-N
CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc(OCC3CCOCC3)c(CO)c2)cc1,LZLBRISQTJVZNP-UHFFFAOYSA-N
Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,PSPFQEBFYXJZEV-UHFFFAOYSA-N
CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,DFJSJLGUIXFDJP-UHFFFAOYSA-N
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)(O)O,WDOGQTQEKVLZIJ-WAYWQWQTSA-N
CCCc1c(SCCCOc2ccc(C(C)=O)c(OCCCC(=O)O)c2CCC)ccc(C(C)=O)c1O,KPWYNAGOBXLMSE-UHFFFAOYSA-N
CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21,LKHRMULASXZCLG-UHFFFAOYSA-N
Cc1cccc([C@H](C)c2cnc[nH]2)c1C,CUHVIMMYOGQXCV-NSHDSACASA-N
O=C(O)C(Cl)(Cl)Cl,YNJBWRMUSHSURL-UHFFFAOYSA-N
O=C(O)CC(=O)C(=O)O,KHPXUQMNIQBQEV-UHFFFAOYSA-N
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,OVDSPTSBIQCAIN-UHFFFAOYSA-N
CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,QIALRBLEEWJACW-INIZCTEOSA-N
CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,KNADXBVKFAUMCR-UHFFFAOYSA-N
Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
CC[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LJOQGZACKSYWCH-LHHVKLHASA-N
C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,BARDROPHSZEBKC-OITMNORJSA-N
CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,AOTRIQLYUAFVSC-UHFFFAOYSA-N
COC(=O)c1ccccc1O,OSWPMRLSEDHDFF-UHFFFAOYSA-N
CCOC(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1cccc(Cl)c1)CC2,RDJQCOBTKKAQAH-FPOVZHCZSA-N
CN1C(=O)CC[C@H]1c1cccnc1,UIKROCXWUNQSPJ-VIFPVBQESA-N
COc1ccc2ccc(=O)oc2c1CC=C(C)C,MBRLOUHOWLUMFF-UHFFFAOYSA-N
Cc1ncc(C)n2nc([C@@H]3C[C@H]3c3nc4c5cccnc5ccn4c3C)nc12,ZLHNYULRKIEGAY-HZPDHXFCSA-N
